Month,Day,Seconds of the Day,Log (Duration in seconds),Duration Flag (0 or 1),Average Time(sec),Second Moment (sec),Third Moment (sec),log (Total Energy),log (Early Energy/Late Energy),Total High Energy,Early High Energy,Late High Energy,log (Peak Energy Rate),Peak Energy Rate Time (sec),log (Peak Count Rate at Peak),Time of Peak Count Rate (sec),Number of Peaks in Signal,Signal Run Length,Signal Fractal Dimension,Slope of the Signal Cepstrum,Wavelet Transform (res 5) - 0 Crossings,Wavelet Transform (res 6) - 0 Crossings,Wavelet Transform (res 7) - 0 Crossings,Wavelet Transform (res 8) - 0 Crossings,Fractal Dimension of Smoothed Signal,Number of -3db Peaks (Smoothed Signal),Separation of Two Largest Peaks,Ratio of Two Largest Peaks
11,4,58628,1.29,0,8.99,24.66,120.1,-3.57,0.11,2.49,2.89,1.96,-4.09,5.7,3.06,5.83,1,0,1.25,-15590.4,42,17,12,5,1.66,12,1.23,1.4
11,19,34102.4,1.08,0,6,7.38,31.2,-3.4,0.08,3.52,4.05,2.83,-3.88,4.18,3.14,7.83,2,232.75,1.19,-14755.8,42,22,8,5,1.51,8,3.17,1.01
1,13,27198,1.39,1,13.62,88.82,103.4,-3.96,0.16,1.24,1.27,1.21,-4.46,3.46,2.96,26,7,575.71,1.69,-17962.2,44,20,9,7,0.99,2,0.03,1.15
3,5,57118,1.22,1,4.98,15.84,126.5,-3.42,0.1,0.9,1.2,0.2,-2.32,2.89,4.79,2.9,27,0.07,0.47,3194.58,33,18,11,7,1.78,11,13.24,1.28
3,7,80247.4,1.35,1,10.82,26.36,98,-3.53,0.12,2.29,2.45,2.13,-4.33,6.83,2.86,6.88,13,1282.22,2.17,-17295.5,33,17,10,7,1.94,11,0.87,1.18
4,18,27692.3,1.17,0,9.3,16.69,-78.5,-4,0.2,1.82,1.51,1.97,-4.29,10.96,2.89,10.91,11,1365.47,2.03,-41710.4,37,18,7,4,1.66,12,1.23,1.4
4,19,57945.3,1.24,1,7.12,18.76,53.6,-3.99,0.17,1.77,1.82,1.7,-4.77,6.08,2.55,6.13,17,600.75,1.91,-39147.5,31,18,7,1,1.51,8,3.17,1.01
6,22,2988.5,1.41,1,18.58,64.11,54.9,-3.93,0.14,2.27,2.1,2.42,-4.66,24.46,2.61,24.6,11,345.02,2.03,-17687,38,18,13,8,1.61,9,0.08,1.34
11,1,64378.7,1.36,1,11.58,36.72,106.5,-3.89,0.17,2.06,2.02,2.11,-4.73,13.39,2.56,9.13,25,1383.56,1.86,-17241.6,35,20,13,4,0.4,11,0.01,1.4
11,15,82061.6,1.3,1,12.2,66.68,-10,-3.8,0.15,2.71,2.87,2.54,-4.24,2.33,2.9,20.38,14,1027,1.73,-33969.7,26,16,9,4,2.12,13,5.2,1.25
11,16,51527,1.25,1,16.05,18.62,17.8,-3.89,0.25,2.14,1.64,2.4,-4.17,17.33,3.01,17.47,12,908.51,1.75,-17562.7,38,17,11,4,2.07,6,0.18,1.34
12,22,54242.1,1.38,1,13.58,50.65,-59.5,-3.81,0.16,1,0.97,1.03,-4.71,22.02,2.51,2.38,25,1460.91,2.3,-17330.4,33,17,7,5,1.66,20,1.16,1.21
2,13,27052.2,1.32,1,13.36,44.63,76,-3.29,0.11,2.01,2.1,1.89,-4.18,9.24,3.04,8.63,7,1608.95,1.37,-15843.8,39,18,11,7,1.77,29,2.24,1.4
3,31,2862.3,1.09,0,6.37,8.55,12.2,-4,0.21,1,1.05,0.94,-4.7,7.02,2.76,3.97,7,341.54,1.75,-31593.9,34,18,6,4,1.71,19,16.24,1.38
5,12,84907.4,1.14,0,7.69,12.3,7.8,-3.94,0.18,3.91,3.04,5.39,-4.69,6.83,2.4,6.5,12,856.54,2.01,-17442.5,39,15,9,1,1.84,25,0.11,1.08
5,25,66884.3,0.64,0,3.98,0.95,0.6,-3.82,0.09,3.51,4.6,2.68,-4.01,3.08,2.99,3.04,5,927.89,1.22,-42227.4,17,8,3,3,1.56,5,-0.07,1.36
6,2,48135.9,1.12,0,9.54,16.34,-31.3,-3.73,0.22,2.53,2.54,2.53,-4.24,11.52,2.96,12.12,4,390.1,1.72,-17005.8,31,15,9,7,1.98,18,20.45,1.39
12,10,42671.5,1.2,0,11.06,32.5,-55.3,-3.94,0.2,2.32,2.27,2.38,-4.3,16.77,2.88,16.07,14,862.56,2.11,-17499.3,45,19,10,5,1.67,11,15.65,1.19
12,20,66026.8,1.27,0,9.78,22.97,68.3,-3.53,0.11,3.86,4,3.68,-4.22,6.83,2.73,6.88,6,427.37,1.99,-17369.7,45,23,6,3,1.62,6,0.39,1.38
1,29,16035.3,1.36,1,10.61,40.65,107.8,-3.79,0.13,3.51,3.02,4.33,-4.67,7.02,2.41,19.82,3,171.1,1.99,-17308.6,44,18,9,5,1.69,10,1.23,1.36
2,28,58470.4,1.21,0,8.66,18.95,53.4,-3.88,0.16,1.95,2.24,1.61,-4.65,6.08,2.65,6.22,17,1025.93,2.26,-17093.2,37,19,9,5,1.17,19,0.92,1.41
6,5,19150.4,1.1,0,8.33,11.76,-18.9,-3.81,0.22,2.2,1.75,2.59,-4.38,11.14,2.81,11.19,4,287.31,1.49,-3916.67,26,12,6,4,1.83,10,0.41,1.34
7,21,18529.5,1.32,1,8.69,27.63,88.7,-3.91,0.13,1.95,2.81,1.28,-4.63,7.39,2.44,7.54,14,603,1.7,-17288.2,32,20,10,5,2.02,9,0.73,1.4
8,1,62842.2,1.27,0,7.83,20.45,76,-3.88,0.12,2.55,3.46,1.75,-4.63,5.33,2.63,6.41,15,862.92,1.75,-16771.5,34,22,5,1,1.83,20,6.73,1.36
9,2,68091.9,1.02,1,5.29,5.13,13.9,-3.97,0.17,1.77,2.09,1.4,-4.47,3.46,2.86,3.32,4,372.62,1.76,-41808.7,24,14,6,1,1.68,12,-9.59,1.36
